9	aminocoumarin antibiotic	aminoglycoside antibiotic	antibacterial free fatty acids	bicyclomycin-like antibiotic	carbapenem	cephalosporin	cephamycin	diaminopyrimidine antibiotic	diarylquinoline antibiotic	disinfecting agents and antiseptics	elfamycin antibiotic	fluoroquinolone antibiotic	fusidane antibiotic	glycopeptide antibiotic	glycylcycline	isoniazid-like antibiotic	lincosamide antibiotic	macrolide antibiotic	monobactam	mupirocin-like antibiotic	nitrofuran antibiotic	nitroimidazole antibiotic	nucleoside antibiotic	nybomycin-like antibiotic	oxazolidinone antibiotic	pactamycin-like antibiotic	penam	penem	peptide antibiotic	phenicol antibiotic	phosphonic acid antibiotic	pleuromutilin antibiotic	polyamine antibiotic	pyrazine antibiotic	rifamycin antibiotic	salicylic acid antibiotic	streptogramin A antibiotic	streptogramin B antibiotic	streptogramin antibiotic	sulfonamide antibiotic	sulfone antibiotic	tetracycline antibiotic	thioamide antibiotic	zoliflodacin-like antibiotic
Africa	411	444	0	19	411	453	303	488	0	515	20	743	1	319	200	0	132	846	420	0	0	0	172	22	19	0	447	238	493	868	15	132	0	0	32	0	132	132	132	188	7	973	0	0
Asia	107039	111356	42	4380	112848	125413	80676	130755	1	153046	3767	218054	181	68108	38211	70	33718	235325	106945	64	127	71	31861	11896	4891	17	123830	61691	114689	234616	3681	33345	0	68	9198	10	33420	33482	34238	46210	1582	255443	0	46
Europe	112824	113601	0	4776	114994	127928	83455	136426	0	150465	4646	214186	63	63035	39971	4	27131	229682	111993	47	56	8	32145	7352	4101	0	127901	64480	117005	234273	4040	27075	1	4	8908	1	27121	27163	27192	50144	1396	259478	0	6
North America	215234	211531	3	8538	220323	243856	158639	258069	0	292617	8700	415990	92	117872	72837	73	53450	446795	214200	25	169	105	58249	17798	7621	1	243162	122842	221883	447264	7513	53036	2	11	17412	1	53036	53055	53206	92705	1694	497023	0	38
Oceania	9161	9341	0	358	9283	10344	6936	10285	0	12799	326	17733	39	6226	3271	2	3216	20236	9303	9	3	2	2763	864	579	0	10325	5254	9993	19426	286	3201	0	0	726	0	3208	3202	3219	3888	111	21412	0	0
South America	4767	4848	0	227	4737	5283	3344	5577	0	6728	208	9380	2	2945	1741	4	1377	10266	4593	2	13	8	1474	424	140	0	5268	2503	4919	10129	177	1372	0	6	403	0	1372	1372	1373	1842	53	11337	0	2
uncalculated	23277	23314	0	890	24106	27362	18180	27116	0	31641	993	47238	76	16316	9273	46	8507	50261	23146	1	79	84	7566	2512	1196	0	27531	14268	25803	49865	1533	8329	4	20	2644	1	8334	8339	8381	10536	214	54248	1	2
