8	aminocoumarin antibiotic	aminoglycoside antibiotic	antibacterial free fatty acids	bicyclomycin-like antibiotic	carbapenem	cephalosporin	cephamycin	diaminopyrimidine antibiotic	diarylquinoline antibiotic	disinfecting agents and antiseptics	elfamycin antibiotic	fluoroquinolone antibiotic	fusidane antibiotic	glycopeptide antibiotic	glycylcycline	isoniazid-like antibiotic	lincosamide antibiotic	macrolide antibiotic	monobactam	mupirocin-like antibiotic	nitrofuran antibiotic	nitroimidazole antibiotic	nucleoside antibiotic	nybomycin-like antibiotic	oxazolidinone antibiotic	pactamycin-like antibiotic	penam	penem	peptide antibiotic	phenicol antibiotic	phosphonic acid antibiotic	pleuromutilin antibiotic	polyamine antibiotic	pyrazine antibiotic	rifamycin antibiotic	salicylic acid antibiotic	streptogramin A antibiotic	streptogramin B antibiotic	streptogramin antibiotic	sulfonamide antibiotic	sulfone antibiotic	tetracycline antibiotic	thioamide antibiotic	zoliflodacin-like antibiotic
Argentina	37	31	0	3	33	38	24	48	0	48	1	72	0	16	7	0	10	73	32	0	0	0	5	5	1	0	38	19	32	79	1	10	0	0	2	0	10	10	10	16	0	77	0	0
Australia	7369	7844	0	274	7479	8418	5685	8090	0	10223	288	14132	39	5711	2968	2	2991	16589	7539	9	3	2	2509	695	540	0	8428	4310	8466	15816	247	2979	0	0	666	0	2986	2980	2997	3210	111	17412	0	0
Austria	379	361	0	12	410	417	276	496	0	581	11	750	0	204	111	0	104	838	362	0	0	0	91	43	13	0	431	224	359	823	10	104	0	0	25	0	104	104	104	167	0	925	0	0
Bangladesh	765	870	0	29	800	947	567	958	0	1144	35	1559	9	581	289	0	313	1768	784	0	0	0	245	78	26	0	895	437	812	1773	23	313	0	0	64	0	313	313	314	351	40	1902	0	0
Belgium	5400	5593	0	204	5622	6179	3903	6683	0	7758	219	10726	0	3429	2034	0	1561	11669	5211	0	0	0	1706	447	162	0	6093	2954	5743	11747	174	1561	0	1	432	0	1561	1561	1561	2239	79	13019	0	0
Brazil	180	356	0	5	177	226	148	177	0	242	27	407	0	556	276	4	320	606	158	1	3	5	251	21	25	0	255	109	409	622	41	315	0	6	79	0	315	315	315	73	4	570	0	2
Bulgaria	305	229	0	12	292	328	220	353	0	343	13	539	0	60	60	0	12	523	305	0	0	0	36	14	12	0	328	172	268	545	12	12	0	0	24	0	12	12	12	136	0	610	0	0
Cambodia	341	359	0	15	336	379	243	415	0	447	13	666	0	203	126	0	87	690	332	0	0	0	105	24	10	0	375	183	353	722	11	87	0	0	25	0	87	87	87	149	6	785	0	0
Cameroon	71	69	0	3	66	74	49	82	0	83	4	129	0	47	30	0	19	139	71	0	0	0	26	4	3	0	73	41	86	140	2	19	0	0	6	0	19	19	19	33	1	160	0	0
Canada	52285	53930	0	1982	52939	58536	38570	62189	0	67241	2446	98270	0	35643	21645	6	15799	108988	51951	0	27	0	18098	4071	1804	0	58092	29677	57738	110804	1714	15798	0	6	4206	0	15799	15799	15800	23027	309	121704	0	3
