9	aminocoumarin antibiotic	aminoglycoside antibiotic	antibacterial free fatty acids	bicyclomycin-like antibiotic	carbapenem	cephalosporin	cephamycin	diaminopyrimidine antibiotic	diarylquinoline antibiotic	disinfecting agents and antiseptics	elfamycin antibiotic	fluoroquinolone antibiotic	fusidane antibiotic	glycopeptide antibiotic	glycylcycline	isoniazid-like antibiotic	lincosamide antibiotic	macrolide antibiotic	monobactam	mupirocin-like antibiotic	nitrofuran antibiotic	nitroimidazole antibiotic	nucleoside antibiotic	nybomycin-like antibiotic	oxazolidinone antibiotic	pactamycin-like antibiotic	penam	penem	peptide antibiotic	phenicol antibiotic	phosphonic acid antibiotic	pleuromutilin antibiotic	polyamine antibiotic	pyrazine antibiotic	rifamycin antibiotic	salicylic acid antibiotic	streptogramin A antibiotic	streptogramin B antibiotic	streptogramin antibiotic	sulfonamide antibiotic	sulfone antibiotic	tetracycline antibiotic	thioamide antibiotic	zoliflodacin-like antibiotic
Africa	0.042	0.046	0.0	0.002	0.042	0.047	0.031	0.05	0.0	0.053	0.002	0.076	0.0	0.033	0.021	0.0	0.014	0.087	0.043	0.0	0.0	0.0	0.018	0.002	0.002	0.0	0.046	0.024	0.051	0.089	0.002	0.014	0.0	0.0	0.003	0.0	0.014	0.014	0.014	0.019	0.001	0.1	0.0	0.0
Asia	0.042	0.043	0.0	0.002	0.044	0.049	0.031	0.051	0.0	0.06	0.001	0.085	0.0	0.027	0.015	0.0	0.013	0.092	0.042	0.0	0.0	0.0	0.012	0.005	0.002	0.0	0.048	0.024	0.045	0.091	0.001	0.013	0.0	0.0	0.004	0.0	0.013	0.013	0.013	0.018	0.001	0.1	0.0	0.0
Europe	0.044	0.044	0.0	0.002	0.045	0.05	0.033	0.053	0.0	0.059	0.002	0.084	0.0	0.025	0.016	0.0	0.011	0.09	0.044	0.0	0.0	0.0	0.013	0.003	0.002	0.0	0.05	0.025	0.046	0.092	0.002	0.011	0.0	0.0	0.003	0.0	0.011	0.011	0.011	0.02	0.001	0.102	0.0	0.0
North America	0.044	0.043	0.0	0.002	0.045	0.05	0.032	0.053	0.0	0.06	0.002	0.085	0.0	0.024	0.015	0.0	0.011	0.091	0.044	0.0	0.0	0.0	0.012	0.004	0.002	0.0	0.05	0.025	0.045	0.092	0.002	0.011	0.0	0.0	0.004	0.0	0.011	0.011	0.011	0.019	0.0	0.102	0.0	0.0
Oceania	0.042	0.043	0.0	0.002	0.043	0.048	0.032	0.047	0.0	0.059	0.002	0.082	0.0	0.029	0.015	0.0	0.015	0.093	0.043	0.0	0.0	0.0	0.013	0.004	0.003	0.0	0.048	0.024	0.046	0.089	0.001	0.015	0.0	0.0	0.003	0.0	0.015	0.015	0.015	0.018	0.001	0.099	0.0	0.0
South America	0.043	0.044	0.0	0.002	0.043	0.048	0.03	0.051	0.0	0.061	0.002	0.085	0.0	0.027	0.016	0.0	0.012	0.093	0.042	0.0	0.0	0.0	0.013	0.004	0.001	0.0	0.048	0.023	0.045	0.092	0.002	0.012	0.0	0.0	0.004	0.0	0.012	0.012	0.012	0.017	0.0	0.103	0.0	0.0
uncalculated	0.041	0.041	0.0	0.002	0.043	0.049	0.032	0.048	0.0	0.056	0.002	0.084	0.0	0.029	0.016	0.0	0.015	0.089	0.041	0.0	0.0	0.0	0.013	0.004	0.002	0.0	0.049	0.025	0.046	0.089	0.003	0.015	0.0	0.0	0.005	0.0	0.015	0.015	0.015	0.019	0.0	0.096	0.0	0.0
